[2024-03-24 13:41:38,803: INFO: main: Welcome to our custom log]
[2024-03-26 00:08:29,197: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-26 00:08:29,557: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-26 00:08:29,561: INFO: common: created directory at: artifacts]
[2024-03-26 00:11:42,487: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-26 00:11:42,489: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-26 00:11:42,490: INFO: common: created directory at: artifacts]
[2024-03-26 00:11:42,492: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-26 00:11:42,495: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-26 00:12:02,388: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-26 00:53:25,431: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-03-26 00:53:25,443: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-26 00:53:25,444: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-26 00:53:25,445: INFO: common: created directory at: artifacts]
[2024-03-26 00:53:25,445: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-26 00:53:25,446: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-26 00:53:37,505: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-26 00:53:38,188: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
